ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
81;Children;0.666666667;0.25;;0.57;;0.636;;0.67;0.27;;0.833333333;1.000
82;Children;0.666666667;0.5;;0.78;0.67;;;0.86;0.45;;1;0.5
83;Children;0.666666667;0.25;;0.77;0.5;;;0.73;0.45;;0.833333333;0.167
84;Children;0.833333333;0.375;0.732438;0.88;0.7;0.889;0.83;0.79;0.55;;0.333333333;0.333
85;Children;0.666666667;;;;;;;;0.73;;;0.333
86;Children;0.666666667;0.75;;1;0.7;;;0.86;0.73;;0.833333333;0.667
87;Children;0.666666667;0.25;0.7593017;0.88;0.7;1.000;0.94;0.8;1;0.916666667;1;0.833
88;Children;0.833333333;0.875;;0.46;;0.458;;0.53;0.18;;0.25;0.5
89;Children;0.666666667;0.625;0.7208517;1;0.73;0.682;;0.71;0.55;0.666666667;0.833333333;0.5
91;Children;0.666666667;0.625;0.763633;0.86;0.75;0.417;;0.62;0.27;0;0.333333333;0.5
92;Children;0.833333333;0.375;0.8789806;0.78;0.78;0.5;;0.73;1;0.833333333;0.416666667;0.333
93;Children;0.666666667;0.25;0.794613;0.73;;0.542;;0.54;0.55;;0.75;0.833
94;Children;0.5;0.5;0.5919648;0.78;0.77;0.458;;0.64;0.18;0.916666667;0.333333333;0.333
95;Children;0.833333333;0.25;0.7252755;0.75;0.71;0.417;;0.73;0.55;0.916666667;0.583333333;0
96;Children;0.833333333;0.375;0.7824142;0.73;0.58;1.000;0.94;0.63;0.55;0.833333333;0.833333333;0.833
97;Children;0.833333333;0.375;0.8421785;0.75;;0.375;;0.78;0.55;0;0.416666667;0.167
98;Children;0.5;0.375;0.6313347;0.86;;;;0.66;0.64;0.916666667;0.75;0.333
99;Children;0.5;0.5;0.7538448;0.88;0.71;0.542;;0.67;0.91;0;0.75;
100;Children;1;0.25;0.8096431;0.78;0.75;0.208;;0.65;0.64;0.916666667;0.416666667;0.667
101;Children;0.666666667;0.625;0.8844375;0.75;0.7;0.875;0.93;0.75;0.82;0.833333333;0.25;0.833
