ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid;BRIEF_P_Inhibit;BRIEF_P_Shift;BRIEF_P_WM
84;f;52;4;old;0.833333333;0.375;0.732438;0.88;0.7;0.889;0.83;0.79;0.55;;0.333333333;0.333;49;38;44
85;f;36;3;young;0.666666667;;;;;;;;0.73;;;0.333;54;55;62
86;m;52;4;old;0.666666667;0.75;;1;0.7;;;0.86;0.73;;0.833333333;0.667;48;62;40
87;f;54;4;old;0.666666667;0.25;0.7593017;0.88;0.7;1.000;0.94;0.8;1;0.916666667;1;0.833;58;62;60
88;m;39;3;young;0.833333333;0.875;;0.46;;0.458;;0.53;0.18;;0.25;0.5;;;
89;m;45;3;young;0.666666667;0.625;0.7208517;1;0.73;0.682;;0.71;0.55;0.666666667;0.833333333;0.5;55;50;40
91;f;40;3;young;0.666666667;0.625;0.763633;0.86;0.75;0.417;;0.62;0.27;0;0.333333333;0.5;56;58;51
92;m;51;4;old;0.833333333;0.375;0.8789806;0.78;0.78;0.5;;0.73;1;0.833333333;0.416666667;0.333;36;47;38
93;f;46;3;young;0.666666667;0.25;0.794613;0.73;;0.542;;0.54;0.55;;0.75;0.833;43;38;38
94;f;47;3;young;0.5;0.5;0.5919648;0.78;0.77;0.458;;0.64;0.18;0.916666667;0.333333333;0.333;;;
95;f;47;3;young;0.833333333;0.25;0.7252755;0.75;0.71;0.417;;0.73;0.55;0.916666667;0.583333333;0;72;65;74
96;m;56;4;old;0.833333333;0.375;0.7824142;0.73;0.58;1.000;0.94;0.63;0.55;0.833333333;0.833333333;0.833;59;47;56
97;m;55;4;old;0.833333333;0.375;0.8421785;0.75;;0.375;;0.78;0.55;0;0.416666667;0.167;;;
98;f;47;3;young;0.5;0.375;0.6313347;0.86;;;;0.66;0.64;0.916666667;0.75;0.333;51;46;54
99;f;47;3;young;0.5;0.5;0.7538448;0.88;0.71;0.542;;0.67;0.91;0;0.75;;;;
100;m;59;4;old;1;0.25;0.8096431;0.78;0.75;0.208;;0.65;0.64;0.916666667;0.416666667;0.667;64;47;74
101;m;53;4;old;0.666666667;0.625;0.8844375;0.75;0.7;0.875;0.93;0.75;0.82;0.833333333;0.25;0.833;74;40;70
102;m;49;4;young;0.833333333;0.375;0.8383493;0.59;0.54;0.583;;0.63;0.73;0.833333333;1;0.833;;;
103;m;51;4;old;0.666666667;0.75;0.732438;0.86;0.77;0.5;;0.75;0.82;0.833333333;1;0.5;45;45;52
104;m;49;4;young;0.833333333;0.75;0.7497285;0.73;0.78;0.818;0.69;0.79;0.64;0.833333333;0.916666667;0.5;48;40;62
105;m;55;4;old;0.666666667;0.875;0.9306625;0.77;0.86;0.458;;0.53;;0.75;0.916666667;1.000;;;
106;f;47;3;young;0.833333333;0.375;0.7579612;0.63;0.71;0.625;;0.75;0.09;0.5;0.666666667;0.667;56;46;45
107;f;53;4;old;0.666666667;0.625;0.6600543;0.5;;0.565;;0.56;0.27;0.5;0.333333333;0.667;55;62;61
108;f;58;4;old;0.5;0.375;0.9306625;0.5;;0.583;;0.75;1;0.916666667;0.916666667;0.667;44;43;48
109;m;42;3;young;0.5;0.625;0.5828492;0.38;;0.5;;0.56;0.36;0.5;0.5;0.333;52;48;52
110;f;43;3;young;0.833333333;0.75;0.8748642;0.63;;0.727;;0.89;0.73;0.5;0.583333333;0.167;43;43;38
111;f;47;3;young;0.666666667;0.625;0.7632678;0.78;0.83;0.5;;0.57;0.27;0.75;0.916666667;0.5;39;62;38
112;f;48;4;young;0.833333333;0.375;0.6164179;0.54;;0.375;;0.75;0.36;0.5;0.25;0.833;53;54;56
113;m;47;3;young;0.833333333;0.625;0.8327556;0.73;0.71;0.375;;0.75;0.64;0.833333333;0.909090909;0.667;45;48;44
114;m;49;4;young;0.666666667;0.625;0.6967061;0.77;0.81;0.542;;0.77;0.18;0.833333333;0.916666667;0.667;;;
115;f;45;3;young;0.833333333;0.75;0.7126048;0.77;0.76;0.5;;0.59;0.18;0.666666667;0.916666667;1.000;48;41;56
116;f;61;5;old;0.833333333;0.625;0.7538448;0.8;0.46;0.5;0.94;0.64;0.64;0.833333333;0.833333333;0.667;;;
117;m;65;5;old;0.833333333;0.75;;0.86;0.75;0.875;0.67;1;0.91;;1;0.833;50;47;46
118;f;64;5;old;0.666666667;0.75;0.90755;0.38;;0.583;;1;1;0.833333333;0.916666667;0.5;65;49;52
119;f;61;5;old;0.666666667;0.375;0.732438;0.86;0.61;0.643;0.94;0.8;1;0.833333333;1;0.5;;;
120;m;72;6;old;0.5;0.75;0.8694074;0.78;0.86;0.375;;;0.82;0.916666667;1;0.667;50;45;60
121;f;60;5;old;0.833333333;0.625;0.8096431;0.63;;0.8;;0.81;0.45;0.916666667;0.833333333;0.667;48;38;48
122;f;54;4;old;1;0.625;0.8231824;0.9;0.74;0.458;;0.73;0.55;0.75;0.833333333;0.5;;;
123;f;53;4;old;0.666666667;0.25;;0.75;0.7;0.375;;0.71;0.36;;0.916666667;1.000;37;38;40
124;m;52;4;old;0.5;0.625;0.804036;1;0.57;0.542;0.81;0.86;0.55;0.75;0.416666667;0.5;;;
125;m;41;3;young;0.5;0.625;;0.38;;0.458;;0.75;0.91;0.916666667;0.25;0.333;66;65;64
126;f;54;4;old;0.666666667;0.375;;;;;;0.44;0.45;;0.333333333;0.667;;;
127;f;59;4;old;1;0.75;0.7826292;0.79;0.77;0.583;;;1;0.833333333;0.333333333;0.167;63;57;60
128;f;39;3;young;0.5;;;;;;;;0.45;;;0.333;62;46;62
129;f;55;4;old;0.666666667;0.25;;0.58;;;;0.71;;;0.5;0.167;87;49;96
130;f;46;3;young;0.666666667;0.375;0.7211591;0.54;;0.542;;0.86;0.64;0;0.666666667;0.5;54;40;51
131;m;53;4;old;1;0.25;;0.64;0.75;;;0.69;0.64;;0.5;0.833;52;42;46
132;f;58;4;old;0.666666667;0.5;;0.73;0.86;0.5;;0.7;0.55;;1;0.5;45;45;40
133;f;64;5;old;0.5;0.75;0.7361892;1;0.7;1.000;1;0.86;0.91;0.916666667;1;0.667;51;41;65
134;m;59;4;old;0.833333333;;;;;;;;0.82;;;0.667;;;
