ID ;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;AdditionalSupportNeeds;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;StoppedEarly;Warm-up.Crit.reached;Trial_Nr;Success;Trial_correct;CumulativeNrCorrectSearches;CumulativeProportionCorrect;Nr.AdministeredTestTrials;Test.NrCorrectTrials;Test.NrErrors;Sanitycheck.NrTrials;ProportionCorrect;Video;Comment;PC1;PC2
14;m;43;3;44;3;no information;young;no;;no;no (2 out of 5 correct);1;;0;;;;;;;;ID14_AdditionalTask_Foil_m_3y;;2.436;0.621
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;1;no;0;0;0;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;2;yes;1;1;0.5;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;3;no;0;1;0.333333333;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;4;yes;1;2;0.5;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;5;yes;1;3;0.6;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;6;yes;1;4;0.666666667;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;7;yes;1;5;0.714285714;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
19;f;37;3;39;3;no;young;no;;no;yes, within 2 trials;8;no;0;5;0.625;8;5;3;8;0.625;ID19_AdditionalTask_Foil_f_3y;;1.208;0.243
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;1;yes;1;1;1;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;2;no;0;1;0.5;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;3;yes;1;2;0.666666667;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
20;f;53;4;56;4;suffers from prolonged febrile convulsions;old;no;;no;yes, within 2 trials;4;yes;1;3;0.75;8;4;4;8;0.5;ID20_AdditionalTask_Foil_f_4y;;0.626;0.245
