ID;Proportion_CorrectTrials;Phase
131;0.54;Training2a
131;0.86;Training2b
132;0.67;Test
132;0.8;Training1
132;0.86;Training2a
132;1;Training2b
133;0.92;Test
133;0.67;Training1
133;0.89;Training2a
133;0.78;Training2b
134;0.86;Test
134;0.75;Training1
134;0.86;Training2a
134;0.67;Training2b
135;0.5;Test
135;0.7;Training1
135;0.69;Training2a
135;0.65;Training2b
136;0.64;Test
136;0.65;Training1
136;0.67;Training2a
136;0.86;Training2b
137;0.56;Test
137;0.68;Training1
137;0.52;Training2a
137;1;Training2b
138;0.56;Test
138;0.8;Training1
138;0.86;Training2a
138;1;Training2b
139;0.66;Test
139;0.8;Training1
139;0.67;Training2a
139;0.86;Training2b
140;0.61;Test
140;0.64;Training1
140;0.7;Training2a
140;0.67;Training2b
141;0.92;Test
141;0.73;Training1
141;0.75;Training2a
141;1;Training2b
143;0.53;Test
143;0.67;Training1
143;0.67;Training2a
143;0.86;Training2b
144;0.58;Test
144;0.69;Training1
144;0.68;Training2a
144;0.79;Training2b
145;0.94;Test
145;0.7;Training1
145;0.86;Training2a
145;0.86;Training2b
146;0.67;Test
146;0.67;Training1
146;0.68;Training2a
146;1;Training2b
147;0.78;Test
147;0.63;Training1
147;0.75;Training2a
147;1;Training2b
148;0.92;Test
148;0.77;Training1
148;0.88;Training2a
148;1;Training2b
149;0.69;Test
149;0.67;Training1
149;0.78;Training2a
149;1;Training2b
150;0.58;Test
150;0.7;Training1
150;0.75;Training2a
150;1;Training2b
151;0.92;Test
151;0.75;Training1
151;0.75;Training2a
151;1;Training2b
152;0.64;Test
152;0.88;Training1
152;0.86;Training2a
152;1;Training2b
153;1;Test
153;0.7;Training1
153;0.75;Training2a
153;1;Training2b
154;0.51;Test
154;0.67;Training1
154;0.88;Training2a
154;0.86;Training2b
156;0.56;Test
156;0.64;Training1
156;0.71;Training2a
156;1;Training2b
157;0.97;Test
157;0.7;Training1
157;0.88;Training2a
157;1;Training2b
158;0.75;Test
158;0.73;Training1
158;0.7;Training2a
158;0.71;Training2b
159;0.92;Test
159;0.78;Training1
159;0.67;Training2a
159;1;Training2b
160;0.97;Test
160;0.8;Training1
160;0.78;Training2a
160;1;Training2b
161;0.42;Test
161;0.86;Training1
161;0.68;Training2a
161;0.78;Training2b
162;0.53;Test
162;0.75;Training1
162;0.7;Training2a
162;0.64;Training2b
163;0.86;Test
163;0.78;Training1
163;0.75;Training2a
163;1;Training2b
164;0.83;Test
164;0.57;Training1
164;0.7;Training2a
164;0.86;Training2b
165;0.94;Test
165;0.65;Training1
165;0.78;Training2a
165;0.86;Training2b
166;0.69;Test
166;0.67;Training1
166;1;Training2a
166;0.86;Training2b
167;0.47;Test
167;0.78;Training1
167;0.65;Training2a
167;0.86;Training2b
169;0.67;Test
169;0.71;Training1
169;0.7;Training2a
169;0.86;Training2b
170;0.83;Test
170;0.78;Training1
170;0.86;Training2a
170;1;Training2b
171;0.69;Test
171;0.88;Training1
171;0.59;Training2a
171;0.82;Training2b
176;0.83;Test
176;0.78;Training1
176;1;Training2a
176;1;Training2b
190;0.19;Test
190;0.6;Training1
