ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;AverageDistanceAcrossTestTrials;NurseryCode;TestingLocation
18;f;44;3;young;no;no;Test;9;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;10;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;11;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;12;0.583;4;Edinburgh
19;f;39;3;young;no;no;Warm-up;1;0.706;5;Fife
19;f;39;3;young;no;no;Warm-up;2;0.706;5;Fife
19;f;39;3;young;no;no;Test;1;0.706;5;Fife
19;f;39;3;young;no;no;Test;2;0.706;5;Fife
19;f;39;3;young;no;no;Test;3;0.706;5;Fife
19;f;39;3;young;no;no;Test;4;0.706;5;Fife
19;f;39;3;young;no;no;Test;5;0.706;5;Fife
19;f;39;3;young;no;no;Test;6;0.706;5;Fife
19;f;39;3;young;no;no;Test;7;0.706;5;Fife
19;f;39;3;young;no;no;Test;8;0.706;5;Fife
19;f;39;3;young;no;no;Test;9;0.706;5;Fife
19;f;39;3;young;no;no;Test;10;0.706;5;Fife
19;f;39;3;young;no;no;Test;11;0.706;5;Fife
19;f;39;3;young;no;no;Test;12;0.706;5;Fife
20;f;56;4;old;no;no;Warm-up;1;0.819;5;Fife
20;f;56;4;old;no;no;Warm-up;2;0.819;5;Fife
20;f;56;4;old;no;no;Test;1;0.819;5;Fife
20;f;56;4;old;no;no;Test;2;0.819;5;Fife
20;f;56;4;old;no;no;Test;3;0.819;5;Fife
20;f;56;4;old;no;no;Test;4;0.819;5;Fife
20;f;56;4;old;no;no;Test;5;0.819;5;Fife
20;f;56;4;old;no;no;Test;6;0.819;5;Fife
20;f;56;4;old;no;no;Test;7;0.819;5;Fife
20;f;56;4;old;no;no;Test;8;0.819;5;Fife
20;f;56;4;old;no;no;Test;9;0.819;5;Fife
20;f;56;4;old;no;no;Test;10;0.819;5;Fife
20;f;56;4;old;no;no;Test;11;0.819;5;Fife
20;f;56;4;old;no;no;Test;12;0.819;5;Fife
21;f;43;3;young;no;no;Warm-up;1;0.534;5;Fife
21;f;43;3;young;no;no;Warm-up;2;0.534;5;Fife
21;f;43;3;young;no;no;Test;1;0.534;5;Fife
21;f;43;3;young;no;no;Test;2;0.534;5;Fife
21;f;43;3;young;no;no;Test;3;0.534;5;Fife
21;f;43;3;young;no;no;Test;4;0.534;5;Fife
21;f;43;3;young;no;no;Test;5;0.534;5;Fife
21;f;43;3;young;no;no;Test;6;0.534;5;Fife
21;f;43;3;young;no;no;Test;7;0.534;5;Fife
21;f;43;3;young;no;no;Test;8;0.534;5;Fife
21;f;43;3;young;no;no;Test;9;0.534;5;Fife
21;f;43;3;young;no;no;Test;10;0.534;5;Fife
21;f;43;3;young;no;no;Test;11;0.534;5;Fife
21;f;43;3;young;no;no;Test;12;0.534;5;Fife
22;f;57;4;old;yes;yes, trial 5;Warm-up;1;1.315;5;Fife
22;f;57;4;old;yes;yes, trial 5;Warm-up;2;1.315;5;Fife
22;f;57;4;old;yes;yes, trial 5;Test;1;1.315;5;Fife
22;f;57;4;old;yes;yes, trial 5;Test;2;1.315;5;Fife
22;f;57;4;old;yes;yes, trial 5;Test;3;1.315;5;Fife
22;f;57;4;old;yes;yes, trial 5;Test;4;1.315;5;Fife
22;f;57;4;old;yes;yes, trial 5;Test;5;1.315;5;Fife
23;f;54;4;old;no;no;Warm-up;1;0.922;5;Fife
23;f;54;4;old;no;no;Warm-up;2;0.922;5;Fife
23;f;54;4;old;no;no;Test;1;0.922;5;Fife
23;f;54;4;old;no;no;Test;2;0.922;5;Fife
23;f;54;4;old;no;no;Test;3;0.922;5;Fife
23;f;54;4;old;no;no;Test;4;0.922;5;Fife
23;f;54;4;old;no;no;Test;5;0.922;5;Fife
23;f;54;4;old;no;no;Test;6;0.922;5;Fife
23;f;54;4;old;no;no;Test;7;0.922;5;Fife
23;f;54;4;old;no;no;Test;8;0.922;5;Fife
23;f;54;4;old;no;no;Test;9;0.922;5;Fife
