ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;TestingLocation;BPVS_Score;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;Nr_Searches_UntilRewardFound (4= did not find);Grid_Choices;2ndTaskCorrect;Comment;choice01;choice01_x;choice01_y;toy_x;toy_y;distance_c01;choice02;choice03;AverageDistanceAcrossTestTrials;Got_Toy (1 = yes, 0 = no);Cumulative_SumofToys_TestTrials;Cumulative_Average_Distance;Video;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;1;4;6,6,15;yes;;6;2;2;1;2;1.0000;6;15;1.358;0;0;1.0;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;2;4;11,2,5;yes;1st choice corrected;11;3;3;2;4;1.4142;2;5;1.358;0;0;1.207;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;3;4;7,6,9;yes;;7;3;2;3;1;1.0000;6;9;1.358;0;0;1.138;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;4;4;12,16,10;no;;12;4;3;1;3;3.0000;16;10;1.358;0;0;1.604;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;5;4;10, 7, peeking;no;;10;2;3;2;1;2.0000;7;peeking;1.358;0;0;1.683;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;6;4;16, 10, 5;yes;;16;4;4;4;3;1.0000;10;5;1.358;0;0;1.569;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;7;4;3, 6, 11;yes;;3;3;1;2;3;2.2361;6;11;1.358;0;0;1.664;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;8;4;6, 11, 14;yes;;6;2;2;3;4;2.2361;11;14;1.358;0;0;1.736;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;9;1;8;yes;;8;4;2;4;2;0.0000;;;1.358;1;1;1.543;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Test;10;1;6;yes;;6;2;2;2;2;0.0000;;;1.358;1;2;1.389;ID4_WM_Grid_m_5y;
