ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;WMUpdating;WMBoxes;WMGrid;CD_all;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
113;m;47;3;young;Edinburgh;0.833333333;0.625;0.8327556;0.375;0.75;0.64;0.833333333;0.909090909;0.667
114;m;49;4;young;Edinburgh;0.666666667;0.625;0.6967061;0.542;0.77;0.18;0.833333333;0.916666667;0.667
115;f;45;3;young;Edinburgh;0.833333333;0.75;0.7126048;0.5;0.59;0.18;0.666666667;0.916666667;1.000
116;f;61;5;old;Fife;0.833333333;0.625;0.7538448;0.5;0.64;0.64;0.833333333;0.833333333;0.667
117;m;65;5;old;Fife;0.833333333;0.75;;0.875;1;0.91;;1;0.833
118;f;64;5;old;Fife;0.666666667;0.75;0.90755;0.583;1;1;0.833333333;0.916666667;0.5
119;f;61;5;old;Fife;0.666666667;0.375;0.732438;0.643;0.8;1;0.833333333;1;0.5
120;m;72;6;old;Fife;0.5;0.75;0.8694074;0.375;;0.82;0.916666667;1;0.667
121;f;60;5;old;Fife;0.833333333;0.625;0.8096431;0.8;0.81;0.45;0.916666667;0.833333333;0.667
122;f;54;4;old;Fife;1;0.625;0.8231824;0.458;0.73;0.55;0.75;0.833333333;0.5
123;f;53;4;old;Fife;0.666666667;0.25;;0.375;0.71;0.36;;0.916666667;1.000
124;m;52;4;old;Fife;0.5;0.625;0.804036;0.542;0.86;0.55;0.75;0.416666667;0.5
125;m;41;3;young;Fife;0.5;0.625;;0.458;0.75;0.91;0.916666667;0.25;0.333
126;f;54;4;old;Fife;0.666666667;0.375;;;0.44;0.45;;0.333333333;0.667
127;f;59;4;old;Fife;1;0.75;0.7826292;0.583;;1;0.833333333;0.333333333;0.167
128;f;39;3;young;Fife;0.5;;;;;0.45;;;0.333
129;f;55;4;old;Fife;0.666666667;0.25;;;0.71;;;0.5;0.167
130;f;46;3;young;Fife;0.666666667;0.375;0.7211591;0.542;0.86;0.64;0;0.666666667;0.5
131;m;53;4;old;Fife;1;0.25;;;0.69;0.64;;0.5;0.833
132;f;58;4;old;Fife;0.666666667;0.5;;0.5;0.7;0.55;;1;0.5
133;f;64;5;old;Fife;0.5;0.75;0.7361892;1.000;0.86;0.91;0.916666667;1;0.667
134;m;59;4;old;Fife;0.833333333;;;;;0.82;;;0.667
135;m;55;4;old;Fife;0.666666667;0.75;;;0.78;0.27;;;0.833
136;m;54;4;old;Fife;0.666666667;0.375;;;0.88;0.45;;0.833333333;0.5
137;f;44;3;young;Fife;0.666666667;;;;;0.45;;;0.833
138;m;46;3;young;Fife;0.666666667;0.25;;;0.64;0.45;;;0.833
139;f;42;3;young;Fife;0.5;;;;;0.64;;;
140;f;53;4;old;Fife;0.833333333;;;;0.58;0.55;;;0.5
141;f;58;4;old;Fife;0.5;;;;;0.91;;;
143;f;44;3;young;Fife;0.5;;;;;0.5;;;0.667
144;m;46;3;young;Edinburgh;0.833333333;0.625;0.778663;0.542;0.86;0.36;0.833333333;0.5;0
145;f;56;4;old;Edinburgh;1;0.375;0.8382124;1.000;0.77;0.91;0.916666667;1;0.167
146;m;53;4;old;Edinburgh;0.666666667;0.75;0.6422484;0.375;0.88;0.55;0.75;0.916666667;0.333
147;f;44;3;young;Edinburgh;0.666666667;0.375;0.7959535;0.583;0.78;0.73;0.916666667;0.166666667;0.833
148;f;45;3;young;Edinburgh;0.666666667;0.875;0.8598342;0.7;1;0.91;0.916666667;0.25;0.5
149;f;58;4;old;Edinburgh;0.833333333;0.5;0.7673841;0.417;0.78;0.45;0.833333333;0.25;0.5
150;m;58;4;old;Edinburgh;0.833333333;0.375;0.8286392;0.375;0.76;0.36;0.916666667;1;1.000
151;f;58;4;old;Edinburgh;1;0.5;0.90755;0.542;0.47;0.91;0.916666667;1;0.833
152;f;48;4;young;Edinburgh;0.833333333;1;0.7211591;0.583;0.65;0.55;0.916666667;0.333333333;0.5
153;f;49;4;young;Edinburgh;0.833333333;0.375;0.8517517;1.000;1;1;0.833333333;1;0
154;m;53;4;old;Edinburgh;0.833333333;0.625;;0.857;0.87;0.45;0.5;0.916666667;0.667
155;m;48;4;young;Edinburgh;0.833333333;0.375;0.8557178;0.692;0.78;;0.833333333;0.416666667;0.5
156;m;57;4;old;Edinburgh;0.666666667;0.625;0.865291;0.458;0.75;0.55;0.583333333;0.833333333;1.000
157;m;54;4;old;Edinburgh;0.666666667;0.625;0.7756168;0.583;1;1;0.833333333;0.416666667;0.5
158;m;58;4;old;Edinburgh;1;0.5;0.8979768;0.375;1;0.73;0.916666667;0.833333333;1.000
159;m;46;3;young;Edinburgh;0.666666667;0.75;0.865291;0.417;0.9;0.91;0.5;0.916666667;0.333
160;f;57;4;old;Edinburgh;0.666666667;0.625;0.7768071;0.333;0.86;1;1;0.916666667;1.000
161;f;46;3;young;Edinburgh;0.666666667;0.25;0.8058919;0.375;0.71;0.09;0.916666667;0.916666667;0.5
162;m;46;3;young;Edinburgh;0.666666667;0.5;0.7959535;0.375;0.71;0.36;0.75;0.25;0.667
163;f;45;3;young;Edinburgh;0.666666667;0.625;;;0.73;0.91;;0.916666667;1.000
164;m;55;4;old;Edinburgh;0.666666667;0.625;0.6997523;0.542;0.65;0.91;0.916666667;0.833333333;0.667
165;f;55;4;old;Edinburgh;0.666666667;0.75;0.7824142;1.000;0.86;0.91;0.833333333;0.916666667;0.167
