ID;Sex;Age_months;Midtesting_age_months;Age_group;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;Experimenter;TestingLocation;CleanData;Dropout?;Reason_Dropout;Issue;BPVS_Score;CleanData_for_First6UniqueSearches_notcountingredundantsearches;CleanData_for_First6UniqueSearches_punishingredundantsearchestotransparentdoors;CleanData_for_First2Min;Comments;ReceivedHelpFromE;FinishedTask;Trial;DoesEMoveBoxTowardsChild_atBeginningOfTrial;IfMove_DoesVideoShowTheEntireMove;DoorWobble;IfWobble_DoesChildSee;Comment_on_WobblingDoor;SearchNr;PositionOfBoxTouched;TypeOfBox;TriedTransparentBox;SixUniqueSearches_PunishingRepeatedVisitsToTransparentDoors;TouchedThisBoxBefore_NotCountingRepeatedVisits;Got_toy;Trial_comments;NoRedundantSearchesPunished_2Phases_HowManyTrials;NoRedundantSearchesPunished_2Phases_HowmanyTransparentBoxesTouched;NoRedundantSearchesPunished_2Phases_ProportionTransparentBoxesTouched;RedundantSearchesToTransparentDoorsPunished_2Phases_HowManyTrials;RedundantSearchesToTransparentDoorsPunished_2Phases_HowmanyTransparentBoxesTouched;RedundantSearchesToTransparentDoorsPunished_2Phases_ProportionTransparentBoxesTouched;Latency_ToGet6UniqueSearches_noredundantsearchescounted;NrCorrectChoicesWithinFirst6Unique_WhileCountingRepeatedVisitsToTransparentDoors;NrCorrectChoicesWithinFirst6UniqueChoices_not countingredundantsearchestotransparentboxes;NrErrorsWithinFirst6UniqueChoices;ProportionCorrectOutOfFirstSixUniqueSearches;ProportionCorrect_PunishingForRepeatedVisitsToTransparentDoors;FirstBoxTouched;DurationFromFirstTouchUntilAllToysRetrievedinSec;FoundAllToys;NrSearchesUntilAllToysFound;NrOfTimesATransparentDoorWasTouched_repeatsarecounted;NrOfTransparentBoxesTouchedAfterFirstAnimal_repeatsarecounted;Latency_tofirstrewardinSec_from_first_touch_of_a_door;Latency_to_first_opaque_door_touched_in_sec;Video;First2Min_BoxNr;First2Min_PosBox;First2Min_TypeBox;First2Min_TouchedBefore;First2Min_GotToy;First2Min_NrUniqueSearches;First2Min_NrCorrectTrialsWithinFirst6Searches;First2Min_PropCorrect;AfterFirstAnimalWasFound_HowManyTransparentDoorsAreTouched_WithinTheNext6Searches;AfterFirstAnimalWasFound_HowManyTransparentDoorsAreTouched_WithinTheNext6Searches_redundantsearchesofopaquedoorsareignored
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;1;6;transparent;1;no;no;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;1;6;transparent;no;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;2;6;transparent;1;no;yes;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;2;6;transparent;yes;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;3;6;transparent;1;no;yes;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;3;6;transparent;yes;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;4;6;transparent;1;no;yes;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;4;6;transparent;yes;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;5;8;transparent;1;no;no;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;5;8;transparent;no;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;6;11;transparent;1;no;no;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;6;11;transparent;no;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;7;3;transparent;1;;no;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;7;3;transparent;no;;4;0;0;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;8;3;transparent;1;;yes;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;;;;;;;;;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;9;3;transparent;1;;yes;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;;;;;;;;;2;2
2;m;42;42;3;3;young;no information;Eva;Fife;yes;no;;;;yes;yes;yes;;no;yes;1;yes;yes;no;;;10;3;transparent;1;;yes;;;12;7;0.583333333;12;8;0.666666667;197;0;1;5;0.167;0;transparent;338;yes;27;18;5;199;199;ID2_Inhibition_Grid_m_3y;;;;;;;;;2;2
